24-01-28.00:06:50.092 [main            ] INFO  Application            - Starting Application using Java 1.8.0_381 on WLY with PID 11192 (D:\Workspace\JavaProject\chatgpt-data\chatgpt-data-app\target\classes started by 王乐岩 in D:\Workspace\JavaProject\chatgpt-data)
24-01-28.00:06:50.093 [main            ] INFO  Application            - The following 1 profile is active: "dev"
24-01-28.00:06:50.593 [main            ] INFO  TomcatWebServer        - Tomcat initialized with port(s): 8090 (http)
24-01-28.00:06:50.597 [main            ] INFO  Http11NioProtocol      - Initializing ProtocolHandler ["http-nio-8090"]
24-01-28.00:06:50.597 [main            ] INFO  StandardService        - Starting service [Tomcat]
24-01-28.00:06:50.597 [main            ] INFO  StandardEngine         - Starting Servlet engine: [Apache Tomcat/9.0.75]
24-01-28.00:06:50.665 [main            ] INFO  [/]                    - Initializing Spring embedded WebApplicationContext
24-01-28.00:06:50.665 [main            ] INFO  ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 548 ms
24-01-28.00:06:51.497 [main            ] INFO  Http11NioProtocol      - Starting ProtocolHandler ["http-nio-8090"]
24-01-28.00:06:51.506 [main            ] INFO  TomcatWebServer        - Tomcat started on port(s): 8090 (http) with context path ''
24-01-28.00:06:51.511 [main            ] INFO  Application            - Started Application in 1.669 seconds (JVM running for 2.207)
24-01-28.00:07:13.076 [http-nio-8090-exec-1] INFO  [/]                    - Initializing Spring DispatcherServlet 'dispatcherServlet'
24-01-28.00:07:13.077 [http-nio-8090-exec-1] INFO  DispatcherServlet      - Initializing Servlet 'dispatcherServlet'
24-01-28.00:07:13.079 [http-nio-8090-exec-1] INFO  DispatcherServlet      - Completed initialization in 2 ms
24-01-28.00:07:13.116 [http-nio-8090-exec-1] INFO  WeiXinPortalController - 接收微信公众号信息请求oBzHc6QeSFc39Z_kjTmDqJmUoSgY开始<xml><ToUserName><![CDATA[gh_28c92be94d7d]]></ToUserName>
<FromUserName><![CDATA[oBzHc6QeSFc39Z_kjTmDqJmUoSgY]]></FromUserName>
<CreateTime>1706371631</CreateTime>
<MsgType><![CDATA[text]]></MsgType>
<Content><![CDATA[403]]></Content>
<MsgId>24429369503538644</MsgId>
</xml>
24-01-28.00:07:13.215 [http-nio-8090-exec-1] INFO  WeiXinPortalController - 接收微信公众号信息请求oBzHc6QeSFc39Z_kjTmDqJmUoSgY完成<xml>
  <ToUserName><![CDATA[oBzHc6QeSFc39Z_kjTmDqJmUoSgY]]></ToUserName>
  <FromUserName><![CDATA[gh_28c92be94d7d]]></FromUserName>
  <CreateTime>1706371633</CreateTime>
  <MsgType><![CDATA[text]]></MsgType>
  <Content><![CDATA[您的验证码为： 4321 有效期3分组]]></Content>
</xml>
24-01-28.00:07:18.331 [http-nio-8090-exec-6] INFO  AuthController         - 鉴权登录校验开始，验证码：4321
24-01-28.00:07:18.468 [http-nio-8090-exec-6] INFO  AuthController         - 鉴权登录校验完成，验证码：4321 结果： {"code":"0000","info":"验证成功","openId":"oBzHc6QeSFc39Z_kjTmDqJmUoSgY","token":"eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJvQnpIYzZRZVNGYzM5Wl9ralRtRHFKbVVvU2dZIiwib3BlbklkIjoib0J6SGM2UWVTRmMzOVpfa2pUbURxSm1Vb1NnWSIsImV4cCI6MTcwNjM4MTcxOCwiaWF0IjoxNzA2MzcxNjM4LCJqdGkiOiIyNDIyMzg2MS05NGI4LTQ1ZjEtYTY2MC1lMzYxMWI0ZjVjNGEifQ.gdbRNjT9SyunjNLoJa_B0u-459VXuKBIJXlldEd2hkQ"}
24-01-28.00:07:21.107 [http-nio-8090-exec-7] INFO  ChatGPTAIServiceController - 流式问答请求开始，使用模型：gpt-3.5-turbo 请求信息：[{"content":"请问有什么需要帮助的吗？","role":"system"},{"content":"你好","role":"user"}]
24-01-28.00:07:21.157 [http-nio-8090-exec-7] INFO  ChatGPTAIServiceController - 流式问答请求处理，openid:oBzHc6QeSFc39Z_kjTmDqJmUoSgY 请求模型:gpt-3.5-turbo
24-01-28.00:07:26.253 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 你
24-01-28.00:07:26.255 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 好
24-01-28.00:07:26.256 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - ！
24-01-28.00:07:26.967 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 有
24-01-28.00:07:26.969 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 什
24-01-28.00:07:26.969 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 么
24-01-28.00:07:27.003 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 我
24-01-28.00:07:27.010 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 可以
24-01-28.00:07:27.011 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 帮
24-01-28.00:07:27.049 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 助
24-01-28.00:07:27.050 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 你
24-01-28.00:07:27.051 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 的
24-01-28.00:07:27.052 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 吗
24-01-28.00:07:27.053 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - ？
24-01-28.00:07:27.066 [http-nio-8090-exec-5] INFO  AbstractChatService    - 流式问答请求完成，使用模型：gpt-3.5-turbo
24-01-28.00:07:37.043 [http-nio-8090-exec-3] INFO  ChatGPTAIServiceController - 流式问答请求开始，使用模型：gpt-3.5-turbo 请求信息：[{"content":"你好","role":"user"},{"content":"你好！有什么我可以帮助你的吗？","role":"system"},{"content":"介绍一下杜兰特","role":"user"}]
24-01-28.00:07:37.045 [http-nio-8090-exec-3] INFO  ChatGPTAIServiceController - 流式问答请求处理，openid:oBzHc6QeSFc39Z_kjTmDqJmUoSgY 请求模型:gpt-3.5-turbo
24-01-28.00:07:38.004 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 杜
24-01-28.00:07:38.005 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 兰
24-01-28.00:07:38.015 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - 特
24-01-28.00:07:38.106 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - （
24-01-28.00:07:38.106 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - Kevin
24-01-28.00:07:38.109 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            -  Durant
24-01-28.00:07:38.211 [OkHttp https://service-d6wuqy4n-1320869466.cd.apigw.tencentcs.com/...] INFO  ChatService            - ）
